,year,rnd,type,team,tm_pts,opp_team,op_pts,venue,tm,op,hvar,lr,tm_var,outcome,state
29,1897,R8,reg_season,Carlton,9,Fitzroy,47,Princes Park,CA,FI,-38,1,-38,L,VIC
30,1897,R8,reg_season,Collingwood,53,St Kilda,29,Junction Oval,CO,SK,-24,0,24,W,VIC
30,1897,R8,reg_season,St Kilda,29,Collingwood,53,Junction Oval,SK,CO,-24,1,-24,L,VIC
31,1897,R8,reg_season,Essendon,32,Geelong,57,East Melbourne,ES,GE,-25,1,-25,L,VIC
31,1897,R8,reg_season,Geelong,57,Essendon,32,East Melbourne,GE,ES,-25,0,25,W,VIC
32,1897,R8,reg_season,Melbourne,20,South Melbourne,73,M.C.G.,ME,SM,-53,1,-53,L,VIC
32,1897,R8,reg_season,South Melbourne,73,Melbourne,20,M.C.G.,SM,ME,-53,0,53,W,VIC
33,1897,R9,reg_season,South Melbourne,74,Carlton,28,Princes Park,SM,CA,-46,0,46,W,VIC
33,1897,R9,reg_season,Carlton,28,South Melbourne,74,Princes Park,CA,SM,-46,1,-46,L,VIC
34,1897,R9,reg_season,Collingwood,37,Essendon,46,Victoria Park,CO,ES,-9,1,-9,L,VIC
34,1897,R9,reg_season,Essendon,46,Collingwood,37,Victoria Park,ES,CO,-9,0,9,W,VIC
35,1897,R9,reg_season,Fitzroy,75,St Kilda,18,Brunswick St,FI,SK,57,1,57,W,VIC
35,1897,R9,reg_season,St Kilda,18,Fitzroy,75,Brunswick St,SK,FI,57,0,-57,L,VIC
36,1897,R9,reg_season,Geelong,15,Melbourne,10,Corio Oval,GE,ME,5,1,5,W,VIC
36,1897,R9,reg_season,Melbourne,10,Geelong,15,Corio Oval,ME,GE,5,0,-5,L,VIC
37,1897,R10,reg_season,Essendon,42,Carlton,13,Princes Park,ES,CA,-29,0,29,W,VIC
37,1897,R10,reg_season,Carlton,13,Essendon,42,Princes Park,CA,ES,-29,1,-29,L,VIC
38,1897,R10,reg_season,Geelong,52,Collingwood,10,Corio Oval,GE,CO,42,1,42,W,VIC
38,1897,R10,reg_season,Collingwood,10,Geelong,52,Corio Oval,CO,GE,42,0,-42,L,VIC
39,1897,R10,reg_season,Melbourne,53,Fitzroy,26,M.C.G.,ME,FI,27,1,27,W,VIC
39,1897,R10,reg_season,Fitzroy,26,Melbourne,53,M.C.G.,FI,ME,27,0,-27,L,VIC
40,1897,R10,reg_season,St Kilda,3,South Melbourne,64,Junction Oval,SK,SM,-61,1,-61,L,VIC
40,1897,R10,reg_season,South Melbourne,64,St Kilda,3,Junction Oval,SM,SK,-61,0,61,W,VIC
41,1897,R11,reg_season,Carlton,16,Geelong,66,Princes Park,CA,GE,-50,1,-50,L,VIC
41,1897,R11,reg_season,Geelong,66,Carlton,16,Princes Park,GE,CA,-50,0,50,W,VIC
42,1897,R11,reg_season,South Melbourne,27,Collingwood,8,Victoria Park,SM,CO,-19,0,19,W,VIC
42,1897,R11,reg_season,Collingwood,8,South Melbourne,27,Victoria Park,CO,SM,-19,1,-19,L,VIC
43,1897,R11,reg_season,Fitzroy,30,Essendon,62,East Melbourne,FI,ES,32,0,-32,L,VIC
43,1897,R11,reg_season,Essendon,62,Fitzroy,30,East Melbourne,ES,FI,32,1,32,W,VIC
44,1897,R11,reg_season,St Kilda,13,Melbourne,71,Junction Oval,SK,ME,-58,1,-58,L,VIC
44,1897,R11,reg_season,Melbourne,71,St Kilda,13,Junction Oval,ME,SK,-58,0,58,W,VIC
45,1897,R12,reg_season,Melbourne,46,Carlton,18,M.C.G.,ME,CA,-28,0,28,W,VIC
45,1897,R12,reg_season,Carlton,18,Melbourne,46,M.C.G.,CA,ME,-28,1,-28,L,VIC
46,1897,R12,reg_season,Fitzroy,28,Collingwood,35,Brunswick St,FI,CO,-7,1,-7,L,VIC
46,1897,R12,reg_season,Collingwood,35,Fitzroy,28,Brunswick St,CO,FI,-7,0,7,W,VIC
47,1897,R12,reg_season,Essendon,94,St Kilda,3,East Melbourne,ES,SK,91,1,91,W,VIC
47,1897,R12,reg_season,St Kilda,3,Essendon,94,East Melbourne,SK,ES,91,0,-91,L,VIC
48,1897,R12,reg_season,South Melbourne,32,Geelong,44,Lake Oval,SM,GE,-12,1,-12,L,VIC
48,1897,R12,reg_season,Geelong,44,South Melbourne,32,Lake Oval,GE,SM,-12,0,12,W,VIC
49,1897,R13,reg_season,Carlton,59,St Kilda,25,Princes Park,CA,SK,34,1,34,W,VIC
49,1897,R13,reg_season,St Kilda,25,Carlton,59,Princes Park,SK,CA,34,0,-34,L,VIC
50,1897,R13,reg_season,Collingwood,43,Melbourne,28,Victoria Park,CO,ME,15,1,15,W,VIC
50,1897,R13,reg_season,Melbourne,28,Collingwood,43,Victoria Park,ME,CO,15,0,-15,L,VIC
51,1897,R13,reg_season,South Melbourne,45,Essendon,49,East Melbourne,SM,ES,4,0,-4,L,VIC
51,1897,R13,reg_season,Essendon,49,South Melbourne,45,East Melbourne,ES,SM,4,1,4,W,VIC
52,1897,R13,reg_season,Fitzroy,21,Geelong,33,Brunswick St,FI,GE,-12,1,-12,L,VIC
52,1897,R13,reg_season,Geelong,33,Fitzroy,21,Brunswick St,GE,FI,-12,0,12,W,VIC
53,1897,R14,reg_season,Collingwood,54,Carlton,22,Victoria Park,CO,CA,32,1,32,W,VIC
53,1897,R14,reg_season,Carlton,22,Collingwood,54,Victoria Park,CA,CO,32,0,-32,L,VIC
54,1897,R14,reg_season,Melbourne,56,Essendon,39,M.C.G.,ME,ES,17,1,17,W,VIC
54,1897,R14,reg_season,Essendon,39,Melbourne,56,M.C.G.,ES,ME,17,0,-17,L,VIC
55,1897,R14,reg_season,South Melbourne,30,Fitzroy,29,Lake Oval,SM,FI,1,1,1,W,VIC
55,1897,R14,reg_season,Fitzroy,29,South Melbourne,30,Lake Oval,FI,SM,1,0,-1,L,VIC
56,1897,R14,reg_season,Geelong,96,St Kilda,18,Corio Oval,GE,SK,78,1,78,W,VIC
56,1897,R14,reg_season,St Kilda,18,Geelong,96,Corio Oval,SK,GE,78,0,-78,L,VIC
57,1897,SF,final,Melbourne,47,Collingwood,51,M.C.G.,ME,CO,4,0,-4,L,VIC
57,1897,SF,final,Collingwood,51,Melbourne,47,M.C.G.,CO,ME,4,1,4,W,VIC
58,1897,SF,final,Essendon,35,Geelong,29,Corio Oval,ES,GE,6,1,6,W,VIC
58,1897,SF,final,Geelong,29,Essendon,35,Corio Oval,GE,ES,6,0,-6,L,VIC
59,1897,SF,final,Essendon,70,Collingwood,30,M.C.G.,ES,CO,40,1,40,W,VIC
59,1897,SF,final,Collingwood,30,Essendon,70,M.C.G.,CO,ES,40,0,-40,L,VIC
60,1897,SF,final,Geelong,46,Melbourne,37,Brunswick St,GE,ME,9,1,9,W,VIC
60,1897,SF,final,Melbourne,37,Geelong,46,Brunswick St,ME,GE,9,0,-9,L,VIC
61,1897,SF,final,Collingwood,48,Geelong,52,East Melbourne,CO,GE,4,0,-4,L,VIC
61,1897,SF,final,Geelong,52,Collingwood,48,East Melbourne,GE,CO,4,1,4,W,VIC
62,1897,SF,final,Essendon,14,Melbourne,8,Lake Oval,ES,ME,6,1,6,W,VIC
62,1897,SF,final,Melbourne,8,Essendon,14,Lake Oval,ME,ES,6,0,-6,L,VIC
63,1898,R1,reg_season,Carlton,47,South Melbourne,30,Princes Park,CA,SM,17,1,17,W,VIC
63,1898,R1,reg_season,South Melbourne,30,Carlton,47,Princes Park,SM,CA,17,0,-17,L,VIC
64,1898,R1,reg_season,Collingwood,48,Geelong,27,Victoria Park,CO,GE,21,1,21,W,VIC
64,1898,R1,reg_season,Geelong,27,Collingwood,48,Victoria Park,GE,CO,21,0,-21,L,VIC
65,1898,R1,reg_season,Essendon,70,Fitzroy,17,East Melbourne,ES,FI,53,1,53,W,VIC
65,1898,R1,reg_season,Fitzroy,17,Essendon,70,East Melbourne,FI,ES,53,0,-53,L,VIC
66,1898,R1,reg_season,Melbourne,92,St Kilda,16,Junction Oval,ME,SK,-76,0,76,W,VIC
66,1898,R1,reg_season,St Kilda,16,Melbourne,92,Junction Oval,SK,ME,-76,1,-76,L,VIC
67,1898,R2,reg_season,Melbourne,83,Carlton,26,M.C.G.,ME,CA,57,1,57,W,VIC
67,1898,R2,reg_season,Carlton,26,Melbourne,83,M.C.G.,CA,ME,57,0,-57,L,VIC
68,1898,R2,reg_season,Collingwood,36,Fitzroy,48,Brunswick St,CO,FI,12,0,-12,L,VIC
68,1898,R2,reg_season,Fitzroy,48,Collingwood,36,Brunswick St,FI,CO,12,1,12,W,VIC
69,1898,R2,reg_season,South Melbourne,27,Essendon,38,Lake Oval,SM,ES,-11,1,-11,L,VIC
69,1898,R2,reg_season,Essendon,38,South Melbourne,27,Lake Oval,ES,SM,-11,0,11,W,VIC
70,1898,R2,reg_season,St Kilda,17,Geelong,85,Corio Oval,SK,GE,68,0,-68,L,VIC
70,1898,R2,reg_season,Geelong,85,St Kilda,17,Corio Oval,GE,SK,68,1,68,W,VIC
71,1898,R3,reg_season,Essendon,28,Carlton,16,Princes Park,ES,CA,-12,0,12,W,VIC
71,1898,R3,reg_season,Carlton,16,Essendon,28,Princes Park,CA,ES,-12,1,-12,L,VIC
72,1898,R3,reg_season,Collingwood,36,Melbourne,46,M.C.G.,CO,ME,10,0,-10,L,VIC
72,1898,R3,reg_season,Melbourne,46,Collingwood,36,M.C.G.,ME,CO,10,1,10,W,VIC
73,1898,R3,reg_season,St Kilda,16,Fitzroy,53,Junction Oval,SK,FI,-37,1,-37,L,VIC
73,1898,R3,reg_season,Fitzroy,53,St Kilda,16,Junction Oval,FI,SK,-37,0,37,W,VIC
74,1898,R3,reg_season,Geelong,60,South Melbourne,8,Corio Oval,GE,SM,52,1,52,W,VIC
74,1898,R3,reg_season,South Melbourne,8,Geelong,60,Corio Oval,SM,GE,52,0,-52,L,VIC
75,1898,R4,reg_season,Geelong,30,Carlton,29,Princes Park,GE,CA,-1,0,1,W,VIC
75,1898,R4,reg_season,Carlton,29,Geelong,30,Princes Park,CA,GE,-1,1,-1,L,VIC
76,1898,R4,reg_season,Collingwood,42,South Melbourne,53,Lake Oval,CO,SM,11,0,-11,L,VIC
76,1898,R4,reg_season,South Melbourne,53,Collingwood,42,Lake Oval,SM,CO,11,1,11,W,VIC
77,1898,R4,reg_season,St Kilda,37,Essendon,112,East Melbourne,SK,ES,75,0,-75,L,VIC
77,1898,R4,reg_season,Essendon,112,St Kilda,37,East Melbourne,ES,SK,75,1,75,W,VIC
78,1898,R4,reg_season,Melbourne,19,Fitzroy,38,Brunswick St,ME,FI,19,0,-19,L,VIC
78,1898,R4,reg_season,Fitzroy,38,Melbourne,19,Brunswick St,FI,ME,19,1,19,W,VIC
79,1898,R5,reg_season,Carlton,6,Collingwood,48,Victoria Park,CA,CO,42,0,-42,L,VIC
79,1898,R5,reg_season,Collingwood,48,Carlton,6,Victoria Park,CO,CA,42,1,42,W,VIC
80,1898,R5,reg_season,Essendon,48,Melbourne,23,East Melbourne,ES,ME,25,1,25,W,VIC
80,1898,R5,reg_season,Melbourne,23,Essendon,48,East Melbourne,ME,ES,25,0,-25,L,VIC
81,1898,R5,reg_season,Fitzroy,39,Geelong,34,Corio Oval,FI,GE,-5,0,5,W,VIC
81,1898,R5,reg_season,Geelong,34,Fitzroy,39,Corio Oval,GE,FI,-5,1,-5,L,VIC
82,1898,R5,reg_season,St Kilda,21,South Melbourne,62,Junction Oval,SK,SM,-41,1,-41,L,VIC
82,1898,R5,reg_season,South Melbourne,62,St Kilda,21,Junction Oval,SM,SK,-41,0,41,W,VIC
83,1898,R6,reg_season,Fitzroy,37,Carlton,33,Brunswick St,FI,CA,4,1,4,W,VIC
83,1898,R6,reg_season,Carlton,33,Fitzroy,37,Brunswick St,CA,FI,4,0,-4,L,VIC
84,1898,R6,reg_season,Collingwood,68,St Kilda,34,Junction Oval,CO,SK,-34,0,34,W,VIC
84,1898,R6,reg_season,St Kilda,34,Collingwood,68,Junction Oval,SK,CO,-34,1,-34,L,VIC
85,1898,R6,reg_season,Essendon,24,Geelong,31,Corio Oval,ES,GE,7,0,-7,L,VIC
85,1898,R6,reg_season,Geelong,31,Essendon,24,Corio Oval,GE,ES,7,1,7,W,VIC
86,1898,R6,reg_season,Melbourne,13,South Melbourne,15,M.C.G.,ME,SM,-2,1,-2,L,VIC
86,1898,R6,reg_season,South Melbourne,15,Melbourne,13,M.C.G.,SM,ME,-2,0,2,W,VIC
87,1898,R7,reg_season,Carlton,43,St Kilda,33,Princes Park,CA,SK,10,1,10,W,VIC
87,1898,R7,reg_season,St Kilda,33,Carlton,43,Princes Park,SK,CA,10,0,-10,L,VIC
88,1898,R7,reg_season,Collingwood,40,Essendon,20,Victoria Park,CO,ES,20,1,20,W,VIC
88,1898,R7,reg_season,Essendon,20,Collingwood,40,Victoria Park,ES,CO,20,0,-20,L,VIC
89,1898,R7,reg_season,Fitzroy,22,South Melbourne,51,Lake Oval,FI,SM,29,0,-29,L,VIC
89,1898,R7,reg_season,South Melbourne,51,Fitzroy,22,Lake Oval,SM,FI,29,1,29,W,VIC
90,1898,R7,reg_season,Melbourne,59,Geelong,39,M.C.G.,ME,GE,20,1,20,W,VIC
90,1898,R7,reg_season,Geelong,39,Melbourne,59,M.C.G.,GE,ME,20,0,-20,L,VIC
91,1898,R8,reg_season,South Melbourne,44,Carlton,12,Lake Oval,SM,CA,32,1,32,W,VIC
91,1898,R8,reg_season,Carlton,12,South Melbourne,44,Lake Oval,CA,SM,32,0,-32,L,VIC
92,1898,R8,reg_season,Collingwood,22,Geelong,41,Corio Oval,CO,GE,19,0,-19,L,VIC
92,1898,R8,reg_season,Geelong,41,Collingwood,22,Corio Oval,GE,CO,19,1,19,W,VIC
93,1898,R8,reg_season,Fitzroy,16,Essendon,59,Brunswick St,FI,ES,-43,1,-43,L,VIC
93,1898,R8,reg_season,Essendon,59,Fitzroy,16,Brunswick St,ES,FI,-43,0,43,W,VIC
94,1898,R8,reg_season,Melbourne,45,St Kilda,21,M.C.G.,ME,SK,24,1,24,W,VIC
94,1898,R8,reg_season,St Kilda,21,Melbourne,45,M.C.G.,SK,ME,24,0,-24,L,VIC
95,1898,R9,reg_season,Carlton,28,Melbourne,28,Princes Park,CA,ME,0,1,0,D,VIC
95,1898,R9,reg_season,Melbourne,28,Carlton,28,Princes Park,ME,CA,0,0,0,D,VIC
96,1898,R9,reg_season,Collingwood,35,Fitzroy,23,Victoria Park,CO,FI,12,1,12,W,VIC
96,1898,R9,reg_season,Fitzroy,23,Collingwood,35,Victoria Park,FI,CO,12,0,-12,L,VIC
97,1898,R9,reg_season,Essendon,54,South Melbourne,30,East Melbourne,ES,SM,24,1,24,W,VIC
97,1898,R9,reg_season,South Melbourne,30,Essendon,54,East Melbourne,SM,ES,24,0,-24,L,VIC
98,1898,R9,reg_season,Geelong,93,St Kilda,25,Junction Oval,GE,SK,-68,0,68,W,VIC
98,1898,R9,reg_season,St Kilda,25,Geelong,93,Junction Oval,SK,GE,-68,1,-68,L,VIC
99,1898,R10,reg_season,Carlton,9,Essendon,77,East Melbourne,CA,ES,68,0,-68,L,VIC
99,1898,R10,reg_season,Essendon,77,Carlton,9,East Melbourne,ES,CA,68,1,68,W,VIC
100,1898,R10,reg_season,Melbourne,11,Collingwood,59,Victoria Park,ME,CO,48,0,-48,L,VIC
