,year,rnd,type,team,tm_pts,opp_team,op_pts,venue,tm,op,hvar,lr,tm_var,outcome,state
2494,1928,R12,reg_season,Melbourne,67,Essendon,89,M.C.G.,ME,ES,-22,1,-22,L,VIC
2494,1928,R12,reg_season,Essendon,89,Melbourne,67,M.C.G.,ES,ME,-22,0,22,W,VIC
2495,1928,R12,reg_season,Western Bulldogs,91,South Melbourne,89,Western Oval,WB,SM,2,1,2,W,VIC
2495,1928,R12,reg_season,South Melbourne,89,Western Bulldogs,91,Western Oval,SM,WB,2,0,-2,L,VIC
2496,1928,R12,reg_season,St Kilda,134,Hawthorn,85,Junction Oval,SK,HA,49,1,49,W,VIC
2496,1928,R12,reg_season,Hawthorn,85,St Kilda,134,Junction Oval,HA,SK,49,0,-49,L,VIC
2497,1928,R12,reg_season,North Melbourne,53,Richmond,90,Arden St,NM,RI,-37,1,-37,L,VIC
2497,1928,R12,reg_season,Richmond,90,North Melbourne,53,Arden St,RI,NM,-37,0,37,W,VIC
2498,1928,R13,reg_season,Richmond,105,Carlton,79,Punt Rd,RI,CA,26,1,26,W,VIC
2498,1928,R13,reg_season,Carlton,79,Richmond,105,Punt Rd,CA,RI,26,0,-26,L,VIC
2499,1928,R13,reg_season,Fitzroy,54,Collingwood,99,Brunswick St,FI,CO,-45,1,-45,L,VIC
2499,1928,R13,reg_season,Collingwood,99,Fitzroy,54,Brunswick St,CO,FI,-45,0,45,W,VIC
2500,1928,R13,reg_season,Essendon,104,Western Bulldogs,74,Windy Hill,ES,WB,30,1,30,W,VIC
2500,1928,R13,reg_season,Western Bulldogs,74,Essendon,104,Windy Hill,WB,ES,30,0,-30,L,VIC
2501,1928,R13,reg_season,Geelong,51,Melbourne,55,Corio Oval,GE,ME,-4,1,-4,L,VIC
2501,1928,R13,reg_season,Melbourne,55,Geelong,51,Corio Oval,ME,GE,-4,0,4,W,VIC
2502,1928,R13,reg_season,Hawthorn,65,North Melbourne,69,Glenferrie Oval,HA,NM,-4,1,-4,L,VIC
2502,1928,R13,reg_season,North Melbourne,69,Hawthorn,65,Glenferrie Oval,NM,HA,-4,0,4,W,VIC
2503,1928,R13,reg_season,South Melbourne,70,St Kilda,121,Lake Oval,SM,SK,-51,1,-51,L,VIC
2503,1928,R13,reg_season,St Kilda,121,South Melbourne,70,Lake Oval,SK,SM,-51,0,51,W,VIC
2504,1928,R14,reg_season,Carlton,149,Hawthorn,79,Princes Park,CA,HA,70,1,70,W,VIC
2504,1928,R14,reg_season,Hawthorn,79,Carlton,149,Princes Park,HA,CA,70,0,-70,L,VIC
2505,1928,R14,reg_season,Collingwood,81,Richmond,73,Victoria Park,CO,RI,8,1,8,W,VIC
2505,1928,R14,reg_season,Richmond,73,Collingwood,81,Victoria Park,RI,CO,8,0,-8,L,VIC
2506,1928,R14,reg_season,South Melbourne,83,Essendon,119,Lake Oval,SM,ES,-36,1,-36,L,VIC
2506,1928,R14,reg_season,Essendon,119,South Melbourne,83,Lake Oval,ES,SM,-36,0,36,W,VIC
2507,1928,R14,reg_season,Melbourne,126,Fitzroy,79,M.C.G.,ME,FI,47,1,47,W,VIC
2507,1928,R14,reg_season,Fitzroy,79,Melbourne,126,M.C.G.,FI,ME,47,0,-47,L,VIC
2508,1928,R14,reg_season,Western Bulldogs,57,Geelong,56,Western Oval,WB,GE,1,1,1,W,VIC
2508,1928,R14,reg_season,Geelong,56,Western Bulldogs,57,Western Oval,GE,WB,1,0,-1,L,VIC
2509,1928,R14,reg_season,North Melbourne,78,St Kilda,137,Arden St,NM,SK,-59,1,-59,L,VIC
2509,1928,R14,reg_season,St Kilda,137,North Melbourne,78,Arden St,SK,NM,-59,0,59,W,VIC
2510,1928,R15,reg_season,St Kilda,93,Carlton,69,Junction Oval,SK,CA,24,1,24,W,VIC
2510,1928,R15,reg_season,Carlton,69,St Kilda,93,Junction Oval,CA,SK,24,0,-24,L,VIC
2511,1928,R15,reg_season,Hawthorn,63,Collingwood,120,Glenferrie Oval,HA,CO,-57,1,-57,L,VIC
2511,1928,R15,reg_season,Collingwood,120,Hawthorn,63,Glenferrie Oval,CO,HA,-57,0,57,W,VIC
2512,1928,R15,reg_season,Essendon,82,Geelong,38,Corio Oval,ES,GE,-44,0,44,W,VIC
2512,1928,R15,reg_season,Geelong,38,Essendon,82,Corio Oval,GE,ES,-44,1,-44,L,VIC
2513,1928,R15,reg_season,Fitzroy,90,Western Bulldogs,89,Brunswick St,FI,WB,1,1,1,W,VIC
2513,1928,R15,reg_season,Western Bulldogs,89,Fitzroy,90,Brunswick St,WB,FI,1,0,-1,L,VIC
2514,1928,R15,reg_season,Richmond,79,Melbourne,50,Punt Rd,RI,ME,29,1,29,W,VIC
2514,1928,R15,reg_season,Melbourne,50,Richmond,79,Punt Rd,ME,RI,29,0,-29,L,VIC
2515,1928,R15,reg_season,North Melbourne,82,South Melbourne,80,Arden St,NM,SM,2,1,2,W,VIC
2515,1928,R15,reg_season,South Melbourne,80,North Melbourne,82,Arden St,SM,NM,2,0,-2,L,VIC
2516,1928,R16,reg_season,North Melbourne,46,Carlton,72,Princes Park,NM,CA,26,0,-26,L,VIC
2516,1928,R16,reg_season,Carlton,72,North Melbourne,46,Princes Park,CA,NM,26,1,26,W,VIC
2517,1928,R16,reg_season,Collingwood,106,St Kilda,50,Victoria Park,CO,SK,56,1,56,W,VIC
2517,1928,R16,reg_season,St Kilda,50,Collingwood,106,Victoria Park,SK,CO,56,0,-56,L,VIC
2518,1928,R16,reg_season,Fitzroy,62,Essendon,54,Windy Hill,FI,ES,-8,0,8,W,VIC
2518,1928,R16,reg_season,Essendon,54,Fitzroy,62,Windy Hill,ES,FI,-8,1,-8,L,VIC
2519,1928,R16,reg_season,Western Bulldogs,54,Richmond,77,Western Oval,WB,RI,-23,1,-23,L,VIC
2519,1928,R16,reg_season,Richmond,77,Western Bulldogs,54,Western Oval,RI,WB,-23,0,23,W,VIC
2520,1928,R16,reg_season,South Melbourne,104,Geelong,67,Lake Oval,SM,GE,37,1,37,W,VIC
2520,1928,R16,reg_season,Geelong,67,South Melbourne,104,Lake Oval,GE,SM,37,0,-37,L,VIC
2521,1928,R16,reg_season,Melbourne,88,Hawthorn,64,M.C.G.,ME,HA,24,1,24,W,VIC
2521,1928,R16,reg_season,Hawthorn,64,Melbourne,88,M.C.G.,HA,ME,24,0,-24,L,VIC
2522,1928,R17,reg_season,Carlton,74,South Melbourne,56,Princes Park,CA,SM,18,1,18,W,VIC
2522,1928,R17,reg_season,South Melbourne,56,Carlton,74,Princes Park,SM,CA,18,0,-18,L,VIC
2523,1928,R17,reg_season,North Melbourne,57,Collingwood,65,Arden St,NM,CO,-8,1,-8,L,VIC
2523,1928,R17,reg_season,Collingwood,65,North Melbourne,57,Arden St,CO,NM,-8,0,8,W,VIC
2524,1928,R17,reg_season,Richmond,146,Essendon,77,Punt Rd,RI,ES,69,1,69,W,VIC
2524,1928,R17,reg_season,Essendon,77,Richmond,146,Punt Rd,ES,RI,69,0,-69,L,VIC
2525,1928,R17,reg_season,Fitzroy,105,Geelong,81,Brunswick St,FI,GE,24,1,24,W,VIC
2525,1928,R17,reg_season,Geelong,81,Fitzroy,105,Brunswick St,GE,FI,24,0,-24,L,VIC
2526,1928,R17,reg_season,Hawthorn,56,Western Bulldogs,123,Glenferrie Oval,HA,WB,-67,1,-67,L,VIC
2526,1928,R17,reg_season,Western Bulldogs,123,Hawthorn,56,Glenferrie Oval,WB,HA,-67,0,67,W,VIC
2527,1928,R17,reg_season,St Kilda,82,Melbourne,81,Junction Oval,SK,ME,1,1,1,W,VIC
2527,1928,R17,reg_season,Melbourne,81,St Kilda,82,Junction Oval,ME,SK,1,0,-1,L,VIC
2528,1928,R18,reg_season,Collingwood,67,Carlton,87,Victoria Park,CO,CA,-20,1,-20,L,VIC
2528,1928,R18,reg_season,Carlton,87,Collingwood,67,Victoria Park,CA,CO,-20,0,20,W,VIC
2529,1928,R18,reg_season,Essendon,118,Hawthorn,60,Windy Hill,ES,HA,58,1,58,W,VIC
2529,1928,R18,reg_season,Hawthorn,60,Essendon,118,Windy Hill,HA,ES,58,0,-58,L,VIC
2530,1928,R18,reg_season,South Melbourne,100,Fitzroy,90,Lake Oval,SM,FI,10,1,10,W,VIC
2530,1928,R18,reg_season,Fitzroy,90,South Melbourne,100,Lake Oval,FI,SM,10,0,-10,L,VIC
2531,1928,R18,reg_season,Western Bulldogs,67,St Kilda,70,Western Oval,WB,SK,-3,1,-3,L,VIC
2531,1928,R18,reg_season,St Kilda,70,Western Bulldogs,67,Western Oval,SK,WB,-3,0,3,W,VIC
2532,1928,R18,reg_season,Geelong,63,Richmond,111,Corio Oval,GE,RI,-48,1,-48,L,VIC
2532,1928,R18,reg_season,Richmond,111,Geelong,63,Corio Oval,RI,GE,-48,0,48,W,VIC
2533,1928,R18,reg_season,Melbourne,127,North Melbourne,40,M.C.G.,ME,NM,87,1,87,W,VIC
2533,1928,R18,reg_season,North Melbourne,40,Melbourne,127,M.C.G.,NM,ME,87,0,-87,L,VIC
2534,1928,SF,final,Carlton,64,Richmond,117,M.C.G.,CA,RI,53,0,-53,L,VIC
2534,1928,SF,final,Richmond,117,Carlton,64,M.C.G.,RI,CA,53,1,53,W,VIC
2535,1928,SF,final,Melbourne,62,Collingwood,62,M.C.G.,ME,CO,0,1,0,D,VIC
2535,1928,SF,final,Collingwood,62,Melbourne,62,M.C.G.,CO,ME,0,0,0,D,VIC
2536,1928,SF,final,Collingwood,68,Melbourne,64,M.C.G.,CO,ME,4,1,4,W,VIC
2536,1928,SF,final,Melbourne,64,Collingwood,68,M.C.G.,ME,CO,4,0,-4,L,VIC
2537,1928,GF,final,Collingwood,96,Richmond,63,M.C.G.,CO,RI,33,1,33,W,VIC
2537,1928,GF,final,Richmond,63,Collingwood,96,M.C.G.,RI,CO,33,0,-33,L,VIC
2538,1929,R1,reg_season,Carlton,131,Essendon,58,Princes Park,CA,ES,73,1,73,W,VIC
2538,1929,R1,reg_season,Essendon,58,Carlton,131,Princes Park,ES,CA,73,0,-73,L,VIC
2539,1929,R1,reg_season,Collingwood,92,Richmond,75,Victoria Park,CO,RI,17,1,17,W,VIC
2539,1929,R1,reg_season,Richmond,75,Collingwood,92,Victoria Park,RI,CO,17,0,-17,L,VIC
2540,1929,R1,reg_season,Western Bulldogs,78,Fitzroy,69,Western Oval,WB,FI,9,1,9,W,VIC
2540,1929,R1,reg_season,Fitzroy,69,Western Bulldogs,78,Western Oval,FI,WB,9,0,-9,L,VIC
2541,1929,R1,reg_season,North Melbourne,54,Geelong,92,Arden St,NM,GE,-38,1,-38,L,VIC
2541,1929,R1,reg_season,Geelong,92,North Melbourne,54,Arden St,GE,NM,-38,0,38,W,VIC
2542,1929,R1,reg_season,St Kilda,82,Hawthorn,58,Junction Oval,SK,HA,24,1,24,W,VIC
2542,1929,R1,reg_season,Hawthorn,58,St Kilda,82,Junction Oval,HA,SK,24,0,-24,L,VIC
2543,1929,R1,reg_season,South Melbourne,58,Melbourne,80,M.C.G.,SM,ME,22,0,-22,L,VIC
2543,1929,R1,reg_season,Melbourne,80,South Melbourne,58,M.C.G.,ME,SM,22,1,22,W,VIC
2544,1929,R2,reg_season,Carlton,109,Richmond,119,Punt Rd,CA,RI,10,0,-10,L,VIC
2544,1929,R2,reg_season,Richmond,119,Carlton,109,Punt Rd,RI,CA,10,1,10,W,VIC
2545,1929,R2,reg_season,Hawthorn,73,Collingwood,126,Glenferrie Oval,HA,CO,-53,1,-53,L,VIC
2545,1929,R2,reg_season,Collingwood,126,Hawthorn,73,Glenferrie Oval,CO,HA,-53,0,53,W,VIC
2546,1929,R2,reg_season,Essendon,112,Western Bulldogs,104,Windy Hill,ES,WB,8,1,8,W,VIC
2546,1929,R2,reg_season,Western Bulldogs,104,Essendon,112,Windy Hill,WB,ES,8,0,-8,L,VIC
2547,1929,R2,reg_season,Fitzroy,107,North Melbourne,55,Brunswick St,FI,NM,52,1,52,W,VIC
2547,1929,R2,reg_season,North Melbourne,55,Fitzroy,107,Brunswick St,NM,FI,52,0,-52,L,VIC
2548,1929,R2,reg_season,Melbourne,28,Geelong,87,Corio Oval,ME,GE,59,0,-59,L,VIC
2548,1929,R2,reg_season,Geelong,87,Melbourne,28,Corio Oval,GE,ME,59,1,59,W,VIC
2549,1929,R2,reg_season,South Melbourne,89,St Kilda,63,Lake Oval,SM,SK,26,1,26,W,VIC
2549,1929,R2,reg_season,St Kilda,63,South Melbourne,89,Lake Oval,SK,SM,26,0,-26,L,VIC
2550,1929,R3,reg_season,Carlton,106,Hawthorn,68,Princes Park,CA,HA,38,1,38,W,VIC
2550,1929,R3,reg_season,Hawthorn,68,Carlton,106,Princes Park,HA,CA,38,0,-38,L,VIC
2551,1929,R3,reg_season,Collingwood,134,South Melbourne,38,Victoria Park,CO,SM,96,1,96,W,VIC
2551,1929,R3,reg_season,South Melbourne,38,Collingwood,134,Victoria Park,SM,CO,96,0,-96,L,VIC
2552,1929,R3,reg_season,Essendon,63,Richmond,107,Windy Hill,ES,RI,-44,1,-44,L,VIC
2552,1929,R3,reg_season,Richmond,107,Essendon,63,Windy Hill,RI,ES,-44,0,44,W,VIC
2553,1929,R3,reg_season,Melbourne,107,Fitzroy,76,M.C.G.,ME,FI,31,1,31,W,VIC
2553,1929,R3,reg_season,Fitzroy,76,Melbourne,107,M.C.G.,FI,ME,31,0,-31,L,VIC
2554,1929,R3,reg_season,Western Bulldogs,64,North Melbourne,53,Western Oval,WB,NM,11,1,11,W,VIC
2554,1929,R3,reg_season,North Melbourne,53,Western Bulldogs,64,Western Oval,NM,WB,11,0,-11,L,VIC
2555,1929,R3,reg_season,St Kilda,57,Geelong,60,Junction Oval,SK,GE,-3,1,-3,L,VIC
2555,1929,R3,reg_season,Geelong,60,St Kilda,57,Junction Oval,GE,SK,-3,0,3,W,VIC
2556,1929,R4,reg_season,South Melbourne,73,Carlton,79,Lake Oval,SM,CA,-6,1,-6,L,VIC
2556,1929,R4,reg_season,Carlton,79,South Melbourne,73,Lake Oval,CA,SM,-6,0,6,W,VIC
2557,1929,R4,reg_season,Geelong,49,Collingwood,85,Corio Oval,GE,CO,-36,1,-36,L,VIC
2557,1929,R4,reg_season,Collingwood,85,Geelong,49,Corio Oval,CO,GE,-36,0,36,W,VIC
2558,1929,R4,reg_season,Hawthorn,70,Essendon,75,Glenferrie Oval,HA,ES,-5,1,-5,L,VIC
2558,1929,R4,reg_season,Essendon,75,Hawthorn,70,Glenferrie Oval,ES,HA,-5,0,5,W,VIC
2559,1929,R4,reg_season,Fitzroy,80,St Kilda,117,Brunswick St,FI,SK,-37,1,-37,L,VIC
2559,1929,R4,reg_season,St Kilda,117,Fitzroy,80,Brunswick St,SK,FI,-37,0,37,W,VIC
2560,1929,R4,reg_season,Richmond,103,Western Bulldogs,85,Punt Rd,RI,WB,18,1,18,W,VIC
2560,1929,R4,reg_season,Western Bulldogs,85,Richmond,103,Punt Rd,WB,RI,18,0,-18,L,VIC
2561,1929,R4,reg_season,North Melbourne,41,Melbourne,99,Arden St,NM,ME,-58,1,-58,L,VIC
2561,1929,R4,reg_season,Melbourne,99,North Melbourne,41,Arden St,ME,NM,-58,0,58,W,VIC
2562,1929,R5,reg_season,Geelong,55,Carlton,73,Princes Park,GE,CA,18,0,-18,L,VIC
2562,1929,R5,reg_season,Carlton,73,Geelong,55,Princes Park,CA,GE,18,1,18,W,VIC
2563,1929,R5,reg_season,Collingwood,115,Fitzroy,59,Victoria Park,CO,FI,56,1,56,W,VIC
2563,1929,R5,reg_season,Fitzroy,59,Collingwood,115,Victoria Park,FI,CO,56,0,-56,L,VIC
2564,1929,R5,reg_season,Essendon,78,South Melbourne,52,Windy Hill,ES,SM,26,1,26,W,VIC
2564,1929,R5,reg_season,South Melbourne,52,Essendon,78,Windy Hill,SM,ES,26,0,-26,L,VIC
2565,1929,R5,reg_season,Western Bulldogs,75,Melbourne,75,Western Oval,WB,ME,0,1,0,D,VIC
2565,1929,R5,reg_season,Melbourne,75,Western Bulldogs,75,Western Oval,ME,WB,0,0,0,D,VIC
2566,1929,R5,reg_season,Richmond,118,Hawthorn,77,Punt Rd,RI,HA,41,1,41,W,VIC
2566,1929,R5,reg_season,Hawthorn,77,Richmond,118,Punt Rd,HA,RI,41,0,-41,L,VIC
2567,1929,R5,reg_season,St Kilda,121,North Melbourne,55,Junction Oval,SK,NM,66,1,66,W,VIC
2567,1929,R5,reg_season,North Melbourne,55,St Kilda,121,Junction Oval,NM,SK,66,0,-66,L,VIC
2568,1929,R6,reg_season,Fitzroy,73,Carlton,132,Brunswick St,FI,CA,-59,1,-59,L,VIC
2568,1929,R6,reg_season,Carlton,132,Fitzroy,73,Brunswick St,CA,FI,-59,0,59,W,VIC
2569,1929,R6,reg_season,North Melbourne,81,Collingwood,132,Arden St,NM,CO,-51,1,-51,L,VIC
2569,1929,R6,reg_season,Collingwood,132,North Melbourne,81,Arden St,CO,NM,-51,0,51,W,VIC
2570,1929,R6,reg_season,South Melbourne,80,Richmond,77,Lake Oval,SM,RI,3,1,3,W,VIC
2570,1929,R6,reg_season,Richmond,77,South Melbourne,80,Lake Oval,RI,SM,3,0,-3,L,VIC
2571,1929,R6,reg_season,Geelong,55,Essendon,60,Corio Oval,GE,ES,-5,1,-5,L,VIC
2571,1929,R6,reg_season,Essendon,60,Geelong,55,Corio Oval,ES,GE,-5,0,5,W,VIC
2572,1929,R6,reg_season,Western Bulldogs,120,Hawthorn,57,Western Oval,WB,HA,63,1,63,W,VIC
2572,1929,R6,reg_season,Hawthorn,57,Western Bulldogs,120,Western Oval,HA,WB,63,0,-63,L,VIC
2573,1929,R6,reg_season,Melbourne,61,St Kilda,59,M.C.G.,ME,SK,2,1,2,W,VIC
2573,1929,R6,reg_season,St Kilda,59,Melbourne,61,M.C.G.,SK,ME,2,0,-2,L,VIC
2574,1929,R7,reg_season,Carlton,107,North Melbourne,52,Princes Park,CA,NM,55,1,55,W,VIC
2574,1929,R7,reg_season,North Melbourne,52,Carlton,107,Princes Park,NM,CA,55,0,-55,L,VIC
2575,1929,R7,reg_season,Melbourne,59,Collingwood,83,Victoria Park,ME,CO,24,0,-24,L,VIC
2575,1929,R7,reg_season,Collingwood,83,Melbourne,59,Victoria Park,CO,ME,24,1,24,W,VIC
2576,1929,R7,reg_season,Fitzroy,80,Essendon,133,Windy Hill,FI,ES,53,0,-53,L,VIC
2576,1929,R7,reg_season,Essendon,133,Fitzroy,80,Windy Hill,ES,FI,53,1,53,W,VIC
2577,1929,R7,reg_season,St Kilda,92,Western Bulldogs,61,Junction Oval,SK,WB,31,1,31,W,VIC
2577,1929,R7,reg_season,Western Bulldogs,61,St Kilda,92,Junction Oval,WB,SK,31,0,-31,L,VIC
2578,1929,R7,reg_season,Richmond,93,Geelong,85,Punt Rd,RI,GE,8,1,8,W,VIC
2578,1929,R7,reg_season,Geelong,85,Richmond,93,Punt Rd,GE,RI,8,0,-8,L,VIC
2579,1929,R7,reg_season,Hawthorn,98,South Melbourne,79,Glenferrie Oval,HA,SM,19,1,19,W,VIC
2579,1929,R7,reg_season,South Melbourne,79,Hawthorn,98,Glenferrie Oval,SM,HA,19,0,-19,L,VIC
2580,1929,R8,reg_season,Carlton,77,Melbourne,42,M.C.G.,CA,ME,-35,0,35,W,VIC
2580,1929,R8,reg_season,Melbourne,42,Carlton,77,M.C.G.,ME,CA,-35,1,-35,L,VIC
2581,1929,R8,reg_season,St Kilda,50,Collingwood,54,Junction Oval,SK,CO,-4,1,-4,L,VIC
2581,1929,R8,reg_season,Collingwood,54,St Kilda,50,Junction Oval,CO,SK,-4,0,4,W,VIC
2582,1929,R8,reg_season,North Melbourne,38,Essendon,72,Arden St,NM,ES,-34,1,-34,L,VIC
2582,1929,R8,reg_season,Essendon,72,North Melbourne,38,Arden St,ES,NM,-34,0,34,W,VIC
2583,1929,R8,reg_season,Fitzroy,86,Richmond,127,Brunswick St,FI,RI,-41,1,-41,L,VIC
2583,1929,R8,reg_season,Richmond,127,Fitzroy,86,Brunswick St,RI,FI,-41,0,41,W,VIC
2584,1929,R8,reg_season,Western Bulldogs,75,South Melbourne,61,Western Oval,WB,SM,14,1,14,W,VIC
2584,1929,R8,reg_season,South Melbourne,61,Western Bulldogs,75,Western Oval,SM,WB,14,0,-14,L,VIC
2585,1929,R8,reg_season,Geelong,56,Hawthorn,25,Corio Oval,GE,HA,31,1,31,W,VIC
2585,1929,R8,reg_season,Hawthorn,25,Geelong,56,Corio Oval,HA,GE,31,0,-31,L,VIC
2586,1929,R9,reg_season,Carlton,94,St Kilda,57,Princes Park,CA,SK,37,1,37,W,VIC
2586,1929,R9,reg_season,St Kilda,57,Carlton,94,Princes Park,SK,CA,37,0,-37,L,VIC
2587,1929,R9,reg_season,Collingwood,139,Western Bulldogs,94,Victoria Park,CO,WB,45,1,45,W,VIC
2587,1929,R9,reg_season,Western Bulldogs,94,Collingwood,139,Victoria Park,WB,CO,45,0,-45,L,VIC
2588,1929,R9,reg_season,Essendon,76,Melbourne,82,Windy Hill,ES,ME,-6,1,-6,L,VIC
2588,1929,R9,reg_season,Melbourne,82,Essendon,76,Windy Hill,ME,ES,-6,0,6,W,VIC
2589,1929,R9,reg_season,Hawthorn,93,Fitzroy,58,Glenferrie Oval,HA,FI,35,1,35,W,VIC
2589,1929,R9,reg_season,Fitzroy,58,Hawthorn,93,Glenferrie Oval,FI,HA,35,0,-35,L,VIC
2590,1929,R9,reg_season,South Melbourne,73,Geelong,75,Lake Oval,SM,GE,-2,1,-2,L,VIC
2590,1929,R9,reg_season,Geelong,75,South Melbourne,73,Lake Oval,GE,SM,-2,0,2,W,VIC
2591,1929,R9,reg_season,Richmond,129,North Melbourne,76,Punt Rd,RI,NM,53,1,53,W,VIC
2591,1929,R9,reg_season,North Melbourne,76,Richmond,129,Punt Rd,NM,RI,53,0,-53,L,VIC
2592,1929,R10,reg_season,Collingwood,105,Carlton,76,Victoria Park,CO,CA,29,1,29,W,VIC
2592,1929,R10,reg_season,Carlton,76,Collingwood,105,Victoria Park,CA,CO,29,0,-29,L,VIC
2593,1929,R10,reg_season,St Kilda,63,Essendon,48,Junction Oval,SK,ES,15,1,15,W,VIC
2593,1929,R10,reg_season,Essendon,48,St Kilda,63,Junction Oval,ES,SK,15,0,-15,L,VIC
2594,1929,R10,reg_season,Fitzroy,86,South Melbourne,110,Brunswick St,FI,SM,-24,1,-24,L,VIC
2594,1929,R10,reg_season,South Melbourne,110,Fitzroy,86,Brunswick St,SM,FI,-24,0,24,W,VIC
2595,1929,R10,reg_season,Western Bulldogs,67,Geelong,59,Western Oval,WB,GE,8,1,8,W,VIC
2595,1929,R10,reg_season,Geelong,59,Western Bulldogs,67,Western Oval,GE,WB,8,0,-8,L,VIC
2596,1929,R10,reg_season,North Melbourne,54,Hawthorn,66,Arden St,NM,HA,-12,1,-12,L,VIC
2596,1929,R10,reg_season,Hawthorn,66,North Melbourne,54,Arden St,HA,NM,-12,0,12,W,VIC
2597,1929,R10,reg_season,Melbourne,68,Richmond,65,M.C.G.,ME,RI,3,1,3,W,VIC
2597,1929,R10,reg_season,Richmond,65,Melbourne,68,M.C.G.,RI,ME,3,0,-3,L,VIC
2598,1929,R11,reg_season,Carlton,110,Western Bulldogs,43,Princes Park,CA,WB,67,1,67,W,VIC
2598,1929,R11,reg_season,Western Bulldogs,43,Carlton,110,Princes Park,WB,CA,67,0,-67,L,VIC
2599,1929,R11,reg_season,Collingwood,92,Essendon,73,Windy Hill,CO,ES,-19,0,19,W,VIC
2599,1929,R11,reg_season,Essendon,73,Collingwood,92,Windy Hill,ES,CO,-19,1,-19,L,VIC
2600,1929,R11,reg_season,Fitzroy,71,Geelong,96,Corio Oval,FI,GE,25,0,-25,L,VIC
2600,1929,R11,reg_season,Geelong,96,Fitzroy,71,Corio Oval,GE,FI,25,1,25,W,VIC
2601,1929,R11,reg_season,Hawthorn,43,Melbourne,53,Glenferrie Oval,HA,ME,-10,1,-10,L,VIC
2601,1929,R11,reg_season,Melbourne,53,Hawthorn,43,Glenferrie Oval,ME,HA,-10,0,10,W,VIC
2602,1929,R11,reg_season,South Melbourne,116,North Melbourne,81,Lake Oval,SM,NM,35,1,35,W,VIC
2602,1929,R11,reg_season,North Melbourne,81,South Melbourne,116,Lake Oval,NM,SM,35,0,-35,L,VIC
2603,1929,R11,reg_season,Richmond,91,St Kilda,53,Punt Rd,RI,SK,38,1,38,W,VIC
2603,1929,R11,reg_season,St Kilda,53,Richmond,91,Punt Rd,SK,RI,38,0,-38,L,VIC
2604,1929,R12,reg_season,Essendon,55,Carlton,59,Windy Hill,ES,CA,-4,1,-4,L,VIC
2604,1929,R12,reg_season,Carlton,59,Essendon,55,Windy Hill,CA,ES,-4,0,4,W,VIC
2605,1929,R12,reg_season,Richmond,75,Collingwood,117,Punt Rd,RI,CO,-42,1,-42,L,VIC
2605,1929,R12,reg_season,Collingwood,117,Richmond,75,Punt Rd,CO,RI,-42,0,42,W,VIC
2606,1929,R12,reg_season,Fitzroy,69,Western Bulldogs,88,Brunswick St,FI,WB,-19,1,-19,L,VIC
2606,1929,R12,reg_season,Western Bulldogs,88,Fitzroy,69,Brunswick St,WB,FI,-19,0,19,W,VIC
2607,1929,R12,reg_season,Geelong,80,North Melbourne,54,Corio Oval,GE,NM,26,1,26,W,VIC
2607,1929,R12,reg_season,North Melbourne,54,Geelong,80,Corio Oval,NM,GE,26,0,-26,L,VIC
2608,1929,R12,reg_season,St Kilda,102,Hawthorn,51,Glenferrie Oval,SK,HA,-51,0,51,W,VIC
2608,1929,R12,reg_season,Hawthorn,51,St Kilda,102,Glenferrie Oval,HA,SK,-51,1,-51,L,VIC
2609,1929,R12,reg_season,South Melbourne,82,Melbourne,69,Lake Oval,SM,ME,13,1,13,W,VIC
2609,1929,R12,reg_season,Melbourne,69,South Melbourne,82,Lake Oval,ME,SM,13,0,-13,L,VIC
2610,1929,R13,reg_season,Carlton,57,Richmond,93,Princes Park,CA,RI,-36,1,-36,L,VIC
2610,1929,R13,reg_season,Richmond,93,Carlton,57,Princes Park,RI,CA,-36,0,36,W,VIC
2611,1929,R13,reg_season,Collingwood,142,Hawthorn,56,Victoria Park,CO,HA,86,1,86,W,VIC
2611,1929,R13,reg_season,Hawthorn,56,Collingwood,142,Victoria Park,HA,CO,86,0,-86,L,VIC
2612,1929,R13,reg_season,Essendon,78,Western Bulldogs,77,Western Oval,ES,WB,-1,0,1,W,VIC
2612,1929,R13,reg_season,Western Bulldogs,77,Essendon,78,Western Oval,WB,ES,-1,1,-1,L,VIC
2613,1929,R13,reg_season,North Melbourne,85,Fitzroy,102,Arden St,NM,FI,-17,1,-17,L,VIC
2613,1929,R13,reg_season,Fitzroy,102,North Melbourne,85,Arden St,FI,NM,-17,0,17,W,VIC
2614,1929,R13,reg_season,Geelong,48,Melbourne,50,M.C.G.,GE,ME,2,0,-2,L,VIC
2614,1929,R13,reg_season,Melbourne,50,Geelong,48,M.C.G.,ME,GE,2,1,2,W,VIC
2615,1929,R13,reg_season,St Kilda,99,South Melbourne,56,Junction Oval,SK,SM,43,1,43,W,VIC
2615,1929,R13,reg_season,South Melbourne,56,St Kilda,99,Junction Oval,SM,SK,43,0,-43,L,VIC
2616,1929,R14,reg_season,Hawthorn,37,Carlton,50,Glenferrie Oval,HA,CA,-13,1,-13,L,VIC
2616,1929,R14,reg_season,Carlton,50,Hawthorn,37,Glenferrie Oval,CA,HA,-13,0,13,W,VIC
2617,1929,R14,reg_season,South Melbourne,43,Collingwood,70,Lake Oval,SM,CO,-27,1,-27,L,VIC
2617,1929,R14,reg_season,Collingwood,70,South Melbourne,43,Lake Oval,CO,SM,-27,0,27,W,VIC
